family,status,readback,setpoint,device1,device2,element,pos
HCM,1,SR24A-PC-HSTR-02:I,SR24A-PC-HSTR-02:SETI,24,2,167,5.445665e+02
HCM,1,SR24A-PC-HSTR-03:I,SR24A-PC-HSTR-03:SETI,24,3,168,5.477825e+02
HCM,1,SR24A-PC-HSTR-04:I,SR24A-PC-HSTR-04:SETI,24,4,169,5.489200e+02
HCM,1,SR24A-PC-HSTR-05:I,SR24A-PC-HSTR-05:SETI,24,5,170,5.499575e+02
HCM,1,SR24A-PC-HSTR-06:I,SR24A-PC-HSTR-06:SETI,24,6,171,5.532735e+02
HCM,1,SR24A-PC-HSTR-07:I,SR24A-PC-HSTR-07:SETI,24,7,172,5.553735e+02
VCM,1,SR01A-PC-VSTR-01:I,SR01A-PC-VSTR-01:SETI,1,1,1,6.516500e+00
VCM,1,SR01A-PC-VSTR-02:I,SR01A-PC-VSTR-02:SETI,1,2,2,8.616500e+00
VCM,1,SR01A-PC-VSTR-03:I,SR01A-PC-VSTR-03:SETI,1,3,3,1.183250e+01
VCM,1,SR01A-PC-VSTR-04:I,SR01A-PC-VSTR-04:SETI,1,4,4,1.297000e+01
VCM,1,SR01A-PC-VSTR-05:I,SR01A-PC-VSTR-05:SETI,1,5,5,1.400750e+01
VCM,1,SR01A-PC-VSTR-06:I,SR01A-PC-VSTR-06:SETI,1,6,6,1.732350e+01
VCM,1,SR01A-PC-VSTR-07:I,SR01A-PC-VSTR-07:SETI,1,7,7,1.942350e+01
VCM,1,SR02A-PC-VSTR-01:I,SR02A-PC-VSTR-01:SETI,2,1,8,2.916650e+01
VCM,1,SR02A-PC-VSTR-02:I,SR02A-PC-VSTR-02:SETI,2,2,9,3.126650e+01
VCM,1,SR02A-PC-VSTR-03:I,SR02A-PC-VSTR-03:SETI,2,3,10,3.448250e+01
VCM,1,SR02A-PC-VSTR-04:I,SR02A-PC-VSTR-04:SETI,2,4,11,3.562000e+01
VCM,1,SR02A-PC-VSTR-05:I,SR02A-PC-VSTR-05:SETI,2,5,12,3.665750e+01
VCM,1,SR02A-PC-VSTR-06:I,SR02A-PC-VSTR-06:SETI,2,6,13,3.997350e+01
VCM,1,SR02A-PC-VSTR-07:I,SR02A-PC-VSTR-07:SETI,2,7,14,4.207350e+01
VCM,1,SR03A-PC-VSTR-01:I,SR03A-PC-VSTR-01:SETI,3,1,15,5.181650e+01
VCM,1,SR03A-PC-VSTR-02:I,SR03A-PC-VSTR-02:SETI,3,2,16,5.391650e+01
VCM,1,SR03A-PC-VSTR-03:I,SR03A-PC-VSTR-03:SETI,3,3,17,5.713250e+01
VCM,1,SR03A-PC-VSTR-04:I,SR03A-PC-VSTR-04:SETI,3,4,18,5.827000e+01
VCM,1,SR03A-PC-VSTR-05:I,SR03A-PC-VSTR-05:SETI,3,5,19,5.930750e+01
VCM,1,SR03A-PC-VSTR-06:I,SR03A-PC-VSTR-06:SETI,3,6,20,6.262350e+01
VCM,1,SR03A-PC-VSTR-07:I,SR03A-PC-VSTR-07:SETI,3,7,21,6.472350e+01
VCM,1,SR04A-PC-VSTR-01:I,SR04A-PC-VSTR-01:SETI,4,1,22,7.446650e+01
VCM,1,SR04A-PC-VSTR-02:I,SR04A-PC-VSTR-02:SETI,4,2,23,7.656650e+01
VCM,1,SR04A-PC-VSTR-03:I,SR04A-PC-VSTR-03:SETI,4,3,24,7.978250e+01
VCM,1,SR04A-PC-VSTR-04:I,SR04A-PC-VSTR-04:SETI,4,4,25,8.092000e+01
VCM,1,SR04A-PC-VSTR-05:I,SR04A-PC-VSTR-05:SETI,4,5,26,8.195750e+01
VCM,1,SR04A-PC-VSTR-06:I,SR04A-PC-VSTR-06:SETI,4,6,27,8.527350e+01
VCM,1,SR04A-PC-VSTR-07:I,SR04A-PC-VSTR-07:SETI,4,7,28,8.737350e+01
VCM,1,SR05A-PC-VSTR-01:I,SR05A-PC-VSTR-01:SETI,5,1,29,1.001165e+02
VCM,1,SR05A-PC-VSTR-02:I,SR05A-PC-VSTR-02:SETI,5,2,30,1.022165e+02
VCM,1,SR05A-PC-VSTR-03:I,SR05A-PC-VSTR-03:SETI,5,3,31,1.054325e+02
VCM,1,SR05A-PC-VSTR-04:I,SR05A-PC-VSTR-04:SETI,5,4,32,1.065700e+02
VCM,1,SR05A-PC-VSTR-05:I,SR05A-PC-VSTR-05:SETI,5,5,33,1.076075e+02
VCM,1,SR05A-PC-VSTR-06:I,SR05A-PC-VSTR-06:SETI,5,6,34,1.109235e+02
VCM,1,SR05A-PC-VSTR-07:I,SR05A-PC-VSTR-07:SETI,5,7,35,1.130235e+02
VCM,1,SR06A-PC-VSTR-01:I,SR06A-PC-VSTR-01:SETI,6,1,36,1.227665e+02
VCM,1,SR06A-PC-VSTR-02:I,SR06A-PC-VSTR-02:SETI,6,2,37,1.248665e+02
VCM,1,SR06A-PC-VSTR-03:I,SR06A-PC-VSTR-03:SETI,6,3,38,1.280825e+02
VCM,1,SR06A-PC-VSTR-04:I,SR06A-PC-VSTR-04:SETI,6,4,39,1.292200e+02
VCM,1,SR06A-PC-VSTR-05:I,SR06A-PC-VSTR-05:SETI,6,5,40,1.302575e+02
VCM,1,SR06A-PC-VSTR-06:I,SR06A-PC-VSTR-06:SETI,6,6,41,1.335735e+02
VCM,1,SR06A-PC-VSTR-07:I,SR06A-PC-VSTR-07:SETI,6,7,42,1.356735e+02
VCM,1,SR07A-PC-VSTR-01:I,SR07A-PC-VSTR-01:SETI,7,1,43,1.454165e+02
VCM,1,SR07A-PC-VSTR-02:I,SR07A-PC-VSTR-02:SETI,7,2,44,1.475165e+02
VCM,1,SR07A-PC-VSTR-03:I,SR07A-PC-VSTR-03:SETI,7,3,45,1.507325e+02
VCM,1,SR07A-PC-VSTR-04:I,SR07A-PC-VSTR-04:SETI,7,4,46,1.518700e+02
VCM,1,SR07A-PC-VSTR-05:I,SR07A-PC-VSTR-05:SETI,7,5,47,1.529075e+02
VCM,1,SR07A-PC-VSTR-06:I,SR07A-PC-VSTR-06:SETI,7,6,48,1.562235e+02
VCM,1,SR07A-PC-VSTR-07:I,SR07A-PC-VSTR-07:SETI,7,7,49,1.583235e+02
VCM,1,SR08A-PC-VSTR-01:I,SR08A-PC-VSTR-01:SETI,8,1,50,1.680665e+02
